Key,English (en),Amharic (am),Oromo (or)
save,Save,አስቀምጥ,Olkaayi
cancel,Cancel,ሰርዝ,Haqu
delete,Delete,አጥፋ,Haqi
edit,Edit,አስተካክል,Gulaali
add,Add,ጨምር,Dabalata
back,Back,ተመለስ,Deebi’i
next,Next,ቀጥል,Itti aana
previous,Previous,ቀድሞ,Duraa
search,Search,ፈልግ,Barbaadi
filter,Filter,አጣራ,Calali
apply,Apply,ተግብር,Hojiirra oolchi
clear,Clear,አጽዳ,Qulqulleessi
clearAllFilters,Clear all filters,ሁሉንም ማጣሪያዎች አጽዳ,Calaloota hunda qulqulleessi
loadingMessage,Loading...,በመጫን ላይ...,በመጫን ላይ...
error,Error,ስህተት,Dogoggora
success,Success,ተሳክቷል,Milkaa’eera
warning,Warning,ማስጠንቀቂያ,Akeekkachiisa
info,Info,መረጃ,Oodeeffannoo
view,View,እይ,Ilaali
download,Download,አውርድ,Buusi
upload,Upload,ጫን,Ol fe’i
submit,Submit,አስገባ,Galchi
close,Close,ዝጋ,Cufi
confirm,Confirm,አረጋግጥ,Mirkaneessi
yes,Yes,አዎ,Eeyyee
no,No,አይ,Lakki
ok,OK,እሺ,Tole
help,Help and support,እርዳታ እና ድጋፍ,Gargaarsa fi deeggarsa
logout,Log Out,ውጣ,Ba’i
dashboard,Dashboard,ዋና ገጽ,Dashboordii
projects,Projects,ፕሮጀክቶች,Pirojektoota
tasks,Tasks,ተግባራት,Hojiiwwan
settings,Settings,ቅንብሮች,Sajatoo
profile,Profile,መገለጫ,Ibsa dhuunfaa
home,Home,መነሻ,Mana
userManagement,User Management,የተጠቃሚዎች አስተዳደር,Bulchiinsa tajaajilamtootaa
projectManagement,Project Management,የፕሮጀክት አስተዳደር,Bulchiinsa pirojekti
baseData,Base Data,መሰረታዊ መረጃ,Deetaa bu’uraa
archive,Archive,ማህደር,Kuusaa
systemLog,System Log,የስርዓት መዝገብ,Galmee sirnaa
helpSupport,Help & Support,እርዳታ እና ድጋፍ,Gargaarsa fi deeggarsa
language,Language,ቋንቋ,Afaan
dialect,Dialect,የቋንቋ ዘይቤ,Lofee
sector,Sector,ዘርፍ,Sektera
organization,Organization,ድርጅት,Dhaabbata
country,Country,ሀገር,Biyya
region,Region,ክልል,Naannoo
zone,Zone,ዞን,Zoonee
rejectionType,Rejection Type,የውድቅ ዓይነት,Gosa kuffisoo
annotationType,Annotation Type,የማብራሪያ ዓይነት,Gosa madaallii
annotation,Annotation,ማብራሪያ,Madaallii
flagType,Flag Type,የምልክት ዓይነት,Gosa mallattoo
login,Login,ግባ,Seeni
signup,Sign Up,ተመዝገብ,Galmaa’i
emailLabel,Email,ኢሜይል,Iimeelii
passwordLabel,Password,የይለፍ ቃል,Jecha icciitii
confirmPasswordLabel,Confirm Password,የይለፍ ቃል አረጋግጥ,Jecha icciitii mirkaneessi
enterYourEmail,Enter your email,ኢሜይልዎን ያስገቡ,Iimeelii keessan galchaa
enterYourPassword,Enter your password,የይለፍ ቃልዎን ያስገቡ,Jecha icciitii keessan galchaa
enterYourCode,Enter your code,ኮድዎን ያስገቡ,Koodii keessan galchaa
forgotPassword,Forgot Password?,የይለፍ ቃል ረስተዋል?,Jecha icciitii dagattan?
rememberMe,Remember me,አስታውሰኝ,Na yaadadhu
alreadyHaveAccount,Already have an account?,አካውንት አለዎት?,Duraan akkaawuntii qabduu?
createYourAccount,Create Your Account,አካውንት ይፍጠሩ,Akkaawuntii uumaa
firstName,First Name,ስም,Maqaa
middleName,Middle Name (Father Name),የአባት ስም,Maqaa Abbaa
lastName,Last Name (Grandfather Name),የአያት ስም,Maqaa Akaakayyuu
birthDate,Birth Date,የልደት ቀን,Guyyaa dhalootaa
genderLabel,Gender,ጾታ,Saala
male,Male,ወንድ,Dhiira
female,Female,ሴት,Dubartii
phoneNumber,Phone Number,የስልክ ቁጥር,Lakkoofsa bilbilaa
countryLabel,Country,ሀገር,Biyya
regionLabel,Region,ክልል,Naannoo
zoneLabel,Zone,ዞን,Zoonee
cityLabel,City,ከተማ,Magaalaa
woredaLabel,Woreda,ወረዳ,Aanaa
languageLabel,Language,ቋንቋ,Afaan
dialectLabel,Dialect,የቋንቋ ዘይቤ,Lofee
educationalBackground,Educational Background,የትምህርት ደረጃ,Sadarkaa barnootaa
organizationLabel,Organization,ድርጅት,Dhaabbata
stepOfTwo,Step {step} of 2,ደረጃ {step} ከ 2,Tarkaanfii {step} keessaa 2
loadingFacilitatorTasks,Loading facilitator tasks...,የአመቻች ተግባራትን በመጫን ላይ...,Hojiiwwan mijeessaa fe’amaa jiru...
loadingSettings,Loading settings...,ቅንብሮችን በመጫን ላይ...,Sajatoowwan fe’amaa jiru...
loadingProjectDetails,Loading project details...,የፕሮጀክት ዝርዝሮችን በመጫን ላይ...,Bal’ina pirojekti fe’amaa jira...
loadingQualityAssuranceDashboard,Loading quality assurance dashboard...,የጥራት ማረጋገጫ ገጽን በመጫን ላይ...,Dashboordii mirkaneessa qulqullinaa fe’amaa jira...
loadingReviewerDashboard,Loading reviewer dashboard...,የገምጋሚ ገጽን በመጫን ላይ...,Dashboordii gamaggamaa fe’amaa jira...
loadingQualityAssuranceTasks,Loading quality assurance tasks...,የጥራት ማረጋገጫ ተግባራትን በመጫን ላይ...,Hojiiwwan mirkaneessa qulqullinaa fe’amaa jiru...
loadingReviewerTasks,Loading reviewer tasks...,የገምጋሚ ተግባራትን በመጫን ላይ...,Hojiiwwan gamaggamaa fe’amaa jiru...
loadingTaskReviewPage,Loading task review page...,የተግባር ግምገማ ገጽን በመጫን ላይ...,Fuulli gamaggama hojii fe’amaa jira...
taskName,Task Name,የተግባር ስም,Maqaa Hojii
taskType,Task Type,የተግባር ዓይነት,Gosa Hojii
createdDate,Created Date,የተፈጠረበት ቀን,Guyyaa uumame
statusLabel,Status,ሁኔታ,Haala
description,Description,መግለጫ,Ibsa
selectStartDate,Select start date,የመጀመሪያ ቀን ይምረጡ,Guyyaa jalqabaa filadhu
selectEndDate,Select end date,የማብቂያ ቀን ይምረጡ,Guyyaa xumuraa filadhu
pageSize,Page Size,የገጽ መጠን,Hamma fuulaa
moreOptions,More options,ተጨማሪ አማራጮች,Filannoowwan dabalataa
reviewStatus,Review Status,የግምገማ ሁኔታ,Haala gamaggamaa
approved,Approved,ጸድቋል,Kan ragga'e ykn Kan fudhatame
rejected,Rejected,ውድቅ ተደርጓል,Kan kufaa ta'e
approve,Approve,አጽድቅ,Mirkaneessi
reject,Reject,ውድቅ አድርግ,Kuffisi
reviewer,Reviewer,ገምጋሚ,Gamaggamaa
score,Score,ውጤት,Qabxii
commentLabel,Comment,አስተያየት,Yaada
